version;Dimension;Chapter;Block;SecondLevel;ThirdLevel;FourthLevel;levelno;code;parent;mlsort;leafnode;Title;Description;Inclusions;Exclusions;selected;Translated_title;Translated_description;Translated_inclusions;Translated_exclusions
ICFEN2;b;1;1;14;0;0;5;b1140;b114;1;1;Orientation to time;Mental functions that produce awareness of time of the day, day of the week, date, month and year.;;;1;Orienteerumine ajas;Vaimsed funktsioonid, mis tagavad teadlikkuse kellaajast, nädalapäevast, kuupäevast, kuust ja aastast.;;
ICFEN2;b;1;1;14;1;0;5;b1141;b114;1;1;Orientation to place;Mental functions that produce awareness of one's location, such as one's immediate surroundings, one's town or country.;;;1;Orienteerumine kohas;Vaimsed funktsioonid, mis tagavad teadlikkuse oma asukohast, nagu näiteks oma lähiümbrusest, linnast või riigist.;;
ICFEN2;b;1;1;14;2;0;5;b1142;b114;1;0;Orientation to person;Mental functions that produce awareness of one's own identity and of individuals in the immediate environment.;;;1;Orienteerumine inimestes;Vaimsed funktsioonid, mis tagavad teadlikkuse inimese enda identiteedist ja tema vahetus ümbruses olevatest inimestest. ;;
ICFEN2;b;1;1;14;2;0;6;b11420;b1142;1;1;Orientation to self;Mental functions that produce awareness of one's own identity.;;;1;Orienteerumine iseendas;Vaimsed funktsioonid, mis tagavad  teadlikkuse iseenda identiteedist.;;
ICFEN2;b;1;1;14;2;1;6;b11421;b1142;1;1;Orientation to others;Mental functions that produce awareness of the identity of other individuals in one's immediate environment.;;;1;Orienteerumine teistes;Vaimsed funktsioonid, mis tagavad teadlikkuse teiste inimeste identiteedist oma vahetus ümbruses. ;;
ICFEN2;b;1;1;14;2;8;6;b11428;b1142;1;1;Orientation to person, other specified;;;;1;Orienteerumine inimestes, teisiti täpsustatud;;;
ICFEN2;b;1;1;14;2;9;6;b11429;b1142;1;1;Orientation to person, unspecified;;;;1;Orienteerumine inimestes, täpsustamata;;;
ICFEN2;b;1;1;14;3;0;5;b1143;b114;1;1;Orientation to objects;Mental functions that produce awareness of objects or features of objects.;;;1;Orienteerumine esemetes;Vaimsed funktsioonid, mis tagavad teadlikkuse esemetest või nende tunnustest.;;
ICFEN2;b;1;1;14;4;0;5;b1144;b114;1;1;Orientation to space;Mental functions that produce awareness of oneâ€™s body in relation to the immediate physical space.;;;1;Orienteerumine ruumis;Vaimsed funktsioonid, mis tagavad teadlikkuse oma keha asukohast vahetus füüsilises ruumis.;;
ICFEN2;b;1;1;14;8;0;5;b1148;b114;1;1;Orientation functions, other specified;;;;1;Orienteerumisfunktsioonid, teisiti täpsustatud;;;
ICFEN2;b;1;1;14;9;0;5;b1149;b114;1;1;Orientation functions, unspecified;;;;1;Orienteerumisfunktsioonid, täpsustamata;;;
ICFEN2;b;1;1;17;0;0;4;b117;b110-b139;1;1;Intellectual functions;General mental functions, required to understand and constructively integrate the various mental functions including all cognitive functions and their development over the life span.;"Inclusions: functions of intellectual growth; intellectual retardation, mental retardation, dementia";"Exclusions: memory functions (b144); thought functions (b160); higher level cognitive functions (b164)";1;Intellektuaalsed funktsioonid;Üldised vaimsed funktsioonid, mis on vajalikud, et mõista ja konstruktiivselt seostada mitmesuguseid vaimseid talitlusi, sh kõiki tunnetuslikke e kognitiivseid funktsioone ja nende arengut eluaja jooksul.;"K.a intellektuaalse arengu funktsioonid; intellektuaalne arengupeetus, vaimne arengupeetus, dementsus";"V.a mälufunktsioonid (b144); mõtlemise funktsioonid (b160); kõrgemad kognitiivsed funktsioonid (b164)"
ICFEN2;b;1;1;22;0;0;4;b122;b110-b139;1;1;Global psychosocial functions;General mental functions, as they develop over the life span, required to understand and constructively integrate the mental functions that lead to the formation of the personal skills needed to establish reciprocal social interactions, in terms of both meaning and purpose.;Inclusions: such as in autism;;1;Üldised psühhosotsiaalsed funktsioonid;Eluea jooksul väljakujunevad üldised vaimsed funktsioonid, et mõista ja konstruktiivselt seostada vaimseid talitlusi, mis viivad vastastikuse sotsiaalse suhtluse loomiseks vajalike isiklike oskuste kujunemiseni nii sisuliselt kui ka eesmärgi mõttes.;K.a sellised häired nagu autismi korral;
ICFEN2;b;1;1;26;0;0;4;b126;b110-b139;1;0;Temperament and personality functions;General mental functions of constitutional disposition of the individual to react in a particular way to situations, including the set of mental characteristics that makes the individual distinct from others.;"Inclusions: functions of extraversion, introversion, agreeableness, conscientiousness, psychic and emotional stability, and openness to experience; optimism; novelty seeking; confidence; trustworthiness";"Exclusions: intellectual functions (b117); energy and drive functions (b130); psychomotor functions (b147); emotional functions (b152)";1;Temperamendi ja isiksuse funktsioonid;Üldised vaimsed funktsioonid, mis avalduvad inimese reageerimises olukordadele temale omasel viisil tulenevalt tema põhiloomulisest eelsoodumusest, kaasa arvatud vaimsete tunnuste kogum, mis eristab inimest teistest.;"K.a ekstravertsuse, introvertsuse, koostöövõime, kohusetundlikkuse, psüühilise ja emotsionaalse stabiilsuse ning kogemustele avatusega seotud funktsioonid; optimism; uudsuse otsing; enesekindlus ja usaldusväärsus";"V.a intellektuaalsed funktsioonid (b117); vaimse energia ja tungifunktsioonid (b130); psühhomotoorsed funktsioonid (b147); emotsioonide funktsioonid (b152)"
ICFEN2;b;1;1;26;0;0;5;b1260;b126;1;1;Extraversion;Mental functions that produce a personal disposition that is outgoing, sociable and demonstrative, as contrasted to being shy, restricted and inhibited.;;;1;Ekstravertsus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla avameelne, suhtlemisaldis ja ilmekas, mitte aga kinnine, vaoshoitud ja pärsitud.;;
ICFEN2;b;1;1;26;1;0;5;b1261;b126;1;1;Agreeableness;Mental functions that produce a personal disposition that is cooperative, amicable, and accomodating, as contrasted to being unfriendly, oppositional and defiant.;;;1;Koostöövõimelisus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla koostööaldis, sõbralik ja kohanev, mitte aga ebasõbralik, trotsiv ja tõrges.;;
ICFEN2;b;1;1;26;2;0;5;b1262;b126;1;1;Conscientiousness;Mental functions that produce a personal disposition such as in being hard-working, methodical and scrupulous, as contrasted to mental functions producing dispositions such as being lazy, unreliable and irresponsible.;;;1;Kohusetundlikkus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla töökas, järjekindel ja hoolikas, mitte aga laisk, ebausaldusväärne ja vastutustundetu.;;
ICFEN2;b;1;1;26;3;0;5;b1263;b126;1;1;Psychic stability;Mental functions that produce a personal disposition that is even-tempered, calm and composed, as contrasted to being irritable, worried, erratic and moody.;;;1;Psüühiline stabiilsus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla tasakaalukas, vaikne ja vaoshoitud, mitte aga ärrituv, murelik, ettearvamatu ja tujukas.;;
ICFEN2;b;1;1;26;4;0;5;b1264;b126;1;1;Openness to experience;Mental functions that produce a personal disposition that is curious, imaginative, inquisitive and experience-seeking, as contrasted to being stagnant, inattentive and emotionally inexpressive.;;;1;Kogemustele avatus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla uudishimulik, kujutlusvõimeline, teadmishimuline ja elamusi otsiv, mitte aga loid, hajevil ja emotsionaalselt väljendusvõimetu.;;
ICFEN2;b;1;1;26;5;0;5;b1265;b126;1;1;Optimism;Mental functions that produce a personal disposition that is cheerful, buoyant and hopeful, as contrasted to being downhearted, gloomy and despairing.;;;1;Optimism;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla elurõõmus, lõbus ja lootusrikas, mitte aga raskemeelne, sünge ja meeleheitel.;;
ICFEN2;b;1;1;26;6;0;5;b1266;b126;1;1;Confidence;Mental functions that produce a personal disposition that is self-assured, bold and assertive, as contrasted to being timid, insecure and self effacing.;;;1;Enesekindlus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla enesekindel, julge ja ennast kehtestav, mitte aga arglik, ebakindel ja liiga tagasihoidlik.;;
ICFEN2;b;1;1;26;7;0;5;b1267;b126;1;1;Trustworthiness;Mental functions that produce a personal disposition that is dependable and principled, as contrasted to being deceitful and antisocial.;;;1;Usaldusväärsus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla usaldatav ja põhimõttekindel, mitte aga valelik ja antisotsiaalne.;;
ICFEN2;b;1;1;26;8;0;5;b1268;b126;1;1;Temperament and personality functions, other specified;;;;1;Temperamendi ja isiksuse funktsioonid, teisiti täpsustatud;;;
ICFEN2;b;1;1;26;9;0;5;b1269;b126;1;1;Temperament and personality functions, unspecified;;;;1;Temperamendi ja isiksuse funktsioonid, täpsustamata;;;
ICFEN2;b;1;1;30;0;0;4;b130;b110-b139;1;0;Energy and drive functions;General mental functions of physiological and psychological mechanisms that cause the individual to move towards satisfy specific needs and general goals in a persistent manner.;Inclusions: functions of energy level, motivation, appetites, craving (including craving for substances that can be abused), and impulse control;"Exclusions: consciousness functions (b110); temperament and personality functions (b126); sleep functions (b134); psychomotor functions (b147); emotional functions (b152)";1;Vaimse energia ja tungifunktsioonid;Füsioloogiliste ja psühholoogiliste mehhanismide üldised vaimsed funktsioonid, mille tulemusena püüdleb inimene pidevalt põhi- ja erivajaduste rahuldamise poole.;K.a vaimse energia taseme, motivatsiooni, isu, himu (k.a himu ainete väärtarvitamise järele) ja impulsside kontrollimise funktsioonid;"V.a teadvuse funktsioonid (b110); temperamendi ja isiksuse funktsioonid (b126); unefunktsioonid (b134); psühhomotoorsed funktsioonid (b147); emotsioonide funktsioonid (b152)"
ICFEN2;b;1;1;30;0;0;5;b1300;b130;1;1;Energy level;Mental functions that produce vigour and stamina.;;;1;Vaimse energia tase;Vaimsed funktsioonid, mis määravad elujõu ja vastupidavuse.;;
ICFEN2;b;1;1;30;1;0;5;b1301;b130;1;1;Motivation;"Mental functions that produce the incentive to act; the conscious or unconscious driving force for action.";;;1;Motivatsioon;"Vaimsed funktsioonid, mis innustavad tegutsema; teadvustatud või teadvustamata tegutsemistung.";;
ICFEN2;b;1;1;30;2;0;5;b1302;b130;1;1;Appetite;Mental functions that produce a natural longing or desire, especially the natural and recurring desire for food and drink.;;;1;Isu;Vaimsed funktsioonid, mis tekitavad loomuliku iha või soovi, eriti loomuliku ja taastekkiva soovi toidu ja joogi järele.;;
ICFEN2;b;1;1;30;3;0;5;b1303;b130;1;1;Craving;Mental functions that produce the urge to consume substances, including substances that can be abused.;;;1;Himu;Vaimsed funktsioonid, mis tekitavad tungiva vajaduse ainete tarvitamise, sh ka väärtarvitamise järele.;;
ICFEN2;b;1;1;30;4;0;5;b1304;b130;1;1;Impulse control;Mental functions that regulate and resist sudden intense urges to do something.;;;1;Impulsside kontrollimine;Vaimsed funktsioonid, mis reguleerivad ja tekitavad vastupanu äkilisele tungivale vajadusele midagi teha.;;
ICFEN2;b;1;1;30;8;0;5;b1308;b130;1;1;Energy and drive functions, other specified;;;;1;Vaimse energia ja tungifunktsioonid, teisiti täpsustatud;;;
ICFEN2;b;1;1;30;9;0;5;b1309;b130;1;1;Energy and drive functions, unspecified;;;;1;Vaimse energia ja tungifunktsioonid, täpsustamata ;;;
ICFEN2;b;1;1;34;0;0;4;b134;b110-b139;1;0;Sleep functions;General mental functions of periodic, reversible and selective physical and mental disengagement from one's immediate environment accompanied by characteristic physiological changes.;"Inclusions: functions of amount of sleeping, and onset, maintenance and quality of sleep; functions involving the sleep cycle, such as in insomnia, hypersomnia and narcolepsy";"Exclusions: consciousness functions (b110); energy and drive functions (b130); attention functions (b140); psychomotor functions (b147)";1;Unefunktsioonid;Üldised vaimsed funktsioonid, mis tingivad perioodilise, pöörduva ja valikulise füüsilise ning vaimse eraldumise oma vahetust ümbrusest ning millega kaasnevad iseloomulikud füsioloogilised muutused.;"K.a uinumise, une kestuse, säilitamise ja kvaliteedi funktsioonid; unetsüklit hõlmavad funktsioonid, nagu unetus e insomnia, liigunisus e hüpersomnia ja tukkumistõbi e narkolepsia";"V.a teadvuse funktsioonid (b110); vaimse energia ja tungifunktsioonid (b130); tähelepanufunktsioonid (b140); psühhomotoorsed funktsioonid (b147)"
ICFEN2;b;1;1;34;0;0;5;b1340;b134;1;1;Amount of sleep;Mental functions involved in the time spent in the state of sleep in the diurnal cycle or circadian rhythm.;;;1;Une kestus;Vaimsed funktsioonid, mis on seotud une kestusega päevases või ööpäevases tsüklis.;;
ICFEN2;b;1;1;34;1;0;5;b1341;b134;1;1;Onset of sleep;Mental functions that produce the transition between wakefulness and sleep.;;;1;Uinumine;Vaimsed funktsioonid, mis tagavad ülemineku ärkvelolekust unne.;;
ICFEN2;b;1;1;34;2;0;5;b1342;b134;1;1;Maintenance of sleep;Mental functions that sustain the state of being asleep.;;;1;Une säilitamine;Vaimsed funktsioonid, mis tagavad unes püsimise.;;
ICFEN2;b;1;1;34;3;0;5;b1343;b134;1;1;Quality of sleep;Mental functions that produce the natural sleep leading to optimal physical and mental rest and relaxation.;;;1;Une kvaliteet;Vaimsed funktsioonid, mis võimaldavad loomuliku une, et tagada optimaalne füüsiline ja vaimne puhkus ning lõõgastumine.;;
ICFEN2;b;1;1;34;4;0;5;b1344;b134;1;1;Functions involving the sleep cycle;Mental functions that produce rapid eye movement (REM) sleep (associated with dreaming) and non-rapid eye movement sleep (NREM) (characterized by the traditional concept of sleep as a time of decreased physiological and psychological activity).;;;1;Unetsükli funktsioonid;Vaimsed funktsioonid, mis tagavad kiirete silmaliigutustega (REM) une, mis on unenägudega seotud ja aeglaste silmaliigutustega (NREM) une, mida iseloomustab une traditsiooniline käsitlus kui füsioloogilise ja psühholoogilise aktiivsuse vähenemine.;;
ICFEN2;b;1;1;34;8;0;5;b1348;b134;1;1;Sleep functions, other specified;;;;1;Unefunktsioonid, teisiti täpsustatud;;;
ICFEN2;b;1;1;34;9;0;5;b1349;b134;1;1;Sleep functions, unspecified;;;;1;Unefunktsioonid, täpsustamata ;;;
ICFEN2;b;1;1;39;0;0;4;b139;b110-b139;1;1;Global mental functions, other specified and unspecified;;;;1;Üldised vaimsed funktsioonid, teisiti täpsustatud ja täpsustamata;;;
ICFEN2;b;1;2;0;0;0;3;b140-b189;b1;1;0;Specific mental functions (b140-b189);;;;1;Spetsiifilised vaimsed funktsioonid (b140–b189);;;
ICFEN2;b;1;2;40;0;0;4;b140;b140-b189;1;0;Attention functions;Specific mental functions of focusing on an external stimulus or internal experience for the required period of time.;"Inclusions: functions of sustaining attention, shifting attention, dividing attention, sharing attention; concentration; distractibility";"Exclusions: consciousness functions (b110); energy and drive functions (b130); sleep functions (b134); memory functions (b144); psychomotor functions (b147); perceptual functions (b156)";1;Tähelepanufunktsioonid;Spetsiifilised vaimsed funktsioonid, mis võimaldavad vajalikul ajavahemikul keskenduda välisele stiimulile või seesmisele kogemusele.;" K.a tähelepanu säilitamise, muutmise, jagamise ja koondamise funktsioonid; kontsentreerumine; tähelepanu kõrvale juhtimine";"V.a teadvuse funktsioonid (b110); vaimse energia ja tungifunktsioonid (b130); unefunktsioonid (b134); mälufunktsioonid (b144); psühhomotoorsed funktsioonid (b147); tajufunktsioonid (b156)"
ICFEN2;b;1;2;40;0;0;5;b1400;b140;1;1;Sustaining attention;Mental functions that produce concentration for the period of time required.;;;1;Tähelepanu säilitamine;Vaimsed funktsioonid, mis tagavad vajalikul ajavahemikul tähelepanu kontsentreerimise.;;
ICFEN2;b;1;2;40;1;0;5;b1401;b140;1;1;Shifting attention;Mental functions that permit refocusing concentration from one stimulus to another.;;;1;Tähelepanu ümberlülitamine;Vaimsed funktsioonid, mis võimaldavad kontsentreerumist suunata ühelt stiimulilt teisele.;;
ICFEN2;b;1;2;40;2;0;5;b1402;b140;1;1;Dividing attention;Mental functions that permit focusing on two or more stimuli at the same time.;;;1;Tähelepanu jagamine;Vaimsed funktsioonid, mis võimaldavad tähelepanu korraga suunata kahele või enamale stiimulile.;;
ICFEN2;b;1;2;40;3;0;5;b1403;b140;1;1;Sharing attention;Mental functions that permit focusing on the same stimulus by two or more people, such as a child and a caregiver both focusing on a toy.;;;1;Tähelepanu koondamine koos teistega;Vaimsed funktsioonid, mis võimaldavad kahe või enama inimese tähelepanu koondamist samale stiimulile, nagu näiteks laps ja tema hoidja, kes koondavad tähelepanu ühele ja samale mänguasjale.;;
ICFEN2;b;1;2;40;8;0;5;b1408;b140;1;1;Attention functions, other specified;;;;1;Tähelepanufunktsioonid, teisiti täpsustatud;;;
ICFEN2;b;1;2;40;9;0;5;b1409;b140;1;1;Attention functions, unspecified;;;;1;Tähelepanufunktsioonid, täpsustamata;;;
ICFEN2;b;1;2;44;0;0;4;b144;b140-b189;1;0;Memory functions;Specific mental functions of registering and storing information and retrieving it as needed.;"Inclusions: functions of short-term and long-term memory, immediate, recent and remote memory; memory span; retrieval of memory; remembering; functions used in recalling and learning, such as in nominal, selective and dissociative amnesia";"Exclusions: consciousness functions (b110); orientation functions (b114), intellectual functioning (b117), attention functions (b140), perceptual functions (b156); thought functions (b160), higher-level cognitive functions (b164), mental functions of language (b167); calculation functions (b172)";1;Mälufunktsioonid;Spetsiifilised vaimsed funktsioonid, mis registreerivad ja salvestavad informatsiooni ning võimaldavad vastavalt vajadusele selle meenutamist..;"K.a lühi- ja püsimälu funktsioonid, vahetu, lähi- ja kaugmälu; mälumaht; mälestuse meenutamine; meelespidamine; õppimisel ja meenutamisel kasutatavad funktsioonid nagu nominaalse, selektiivse või dissotsiatiivse amneesia korral";"V.a teadvuse funktsioonid (b110); orienteerumisfunktsioonid (b114); intellektuaalsed funktsioonid (b117); tähelepanufunktsioonid (b140); tajufunktsioonid (b156); mõtlemisfunktsioonid (b160); kõrgemad kognitiivsed funktsioonid (b164); keele vaimsed funktsioonid (b167); arvutamisfunktsioonid (b172)"
ICFEN2;b;1;2;44;0;0;5;b1440;b144;1;1;Short-term memory;Mental functions that produce a temporary, disruptable memory store of around 30 seconds duration from which information is lost if not consolidated into long-term memory.;;;1;Lühimälu;Vaimsed funktsioonid, mis tagavad umbes 30 sekundi pikkuse ajutise juurdepääsetava mäluhoidla, kust info kaob, kui seda pole salvestatud püsimällu. ;;
ICFEN2;b;1;2;44;1;0;5;b1441;b144;1;1;Long-term memory;Mental functions that produce a memory system permitting the long-term storage of information from short-term memory and both autobiographical memory for past events and semantic memory for language and facts.;;;1;Püsimälu;Vaimsed funktsioonid, mis tagavad lühimälust info püsimällu salvestamist võimaldava mälusüsteemi. Minevikusündmusi säilitatakse autobiograafilises püsimälus ning keelt ja fakte semantilises püsimälus.;;
ICFEN2;b;1;2;44;2;0;5;b1442;b144;1;1;Retrieval and processing of memory;Specific mental functions of recalling information stored in long-term memory and bringing it into awareness.;;;1;Meenutamine;Spetsiifilised vaimsed funktsioonid püsimällu salvestatud info meenutamiseks ja selle teadvustamiseks.;;
ICFEN2;b;1;2;44;3;0;5;b1443;b144;1;1;Working memory;Mental functions that compare and process information retrieved from both short-term and long-term memory.;;;1;Töömälu;Vaimsed funktsioonid, mis võrdlevad ja töötlevad nii lühi- kui ka püsimälust saadud infot.;;
ICFEN2;b;1;2;44;8;0;5;b1448;b144;1;1;Memory functions, other specified;;;;1;Mälufunktsioonid, teisiti täpsustatud;;;
ICFEN2;b;1;2;44;9;0;5;b1449;b144;1;1;Memory functions, unspecified;;;;1;Mälufunktsioonid, täpsustamata ;;;
ICFEN2;b;1;2;47;0;0;4;b147;b140-b189;1;0;Psychomotor functions;Specific mental functions of control over both motor and psychological events at the body level.;"Inclusions: functions of psychomotor control, such as in psychomotor retardation, excitement and agitation, posturing, catatonia, negativism, ambitendency, echopraxia and echolalia; quality of psychomotor function.";"Exclusions: consciousness functions (b110); orientation functions (b114); intellectual functions (b117); energy and drive functions (b130); attention functions (b140); mental functions of language (b167); mental function of sequencing complex movements (b176)";1;Psühhomotoorsed funktsioonid;Spetsiifilised vaimsed funktsioonid, mis kontrollivad nii motoorseid kui ka psüühilisi protsesse organismi tasandil.;"K.a psühhomotoorse regulatsiooni funktsioonid, nagu näiteks psühhomotoorne pidurdus, erutus ja rahutus, sundasendid, pinevushullumeelsus e katatoonia, negativism, vastandlikud impulsid käitumises e ambitendents, kajaliigutused e ehhopraksia ja kajakõne e ehholaalia; psühhomotoorse funktsiooni kvaliteet";"V.a teadvuse funktsioonid (b110); orienteerumisfunktsioonid (b114); intellektuaalsed funktsioonid (b117); vaimse energia ja tungifunktsioonid (b130); tähelepanufunktsioonid (b140); keele vaimsed funktsioonid (b167); keeruliste liigutuste järjestamisega seotud vaimsed funktsioonid (b176)"
ICFEN2;b;1;2;47;0;0;5;b1470;b147;1;1;Psychomotor control;"Mental functions that regulate the speed of behaviour or response time that involves both motor and psychological components, such as in disruption of control producing psychomotor retardation (moving and speaking slowly; decrease in gesturing and spontaneity) or psychomotor excitement (excessive behavioural and cognitive activity, usually nonproductive and often in response to inner tension as in toe-tapping, hand-wringing, agitation, or restlessness).";;;1;Psühhomotoorne kontroll;"Vaimsed funktsioonid, mis hõlmavad nii motoorseid kui ka psüühilisi komponente reguleerides käitumise kiirust või reageerimisaega, nagu näiteks kontrolli häirumisel tekkivat psühhomotoorset pidurdust (aeglaselt liikumine ja rääkimine; žestide ja spontaansuse vähenemine) või psühhomotoorset  erutust (ülemäärane käitumuslik või kognitiivne aktiivsus, tavaliselt mitteproduktiivne ja sageli vastuseks sisemisele pingele, näiteks jalaga vastu maad koputamine, käte mudimine või rahutus).";;
ICFEN2;b;1;2;47;1;0;5;b1471;b147;1;1;Quality of psychomotor functions;Mental functions that produce nonverbal behaviour in the proper sequence and character of its subcomponents, such as hand and eye coordination, or gait.;;;1;Psühhomotoorsete funktsioonide kvaliteet;Vaimsed funktsioonid, mis tagavad mitteverbaalse käitumise ja selle osade õige järjestuse ning iseloomulikud tunnused, nagu näiteks käe-silma koordinatsioon või kõnnak.;;
ICFEN2;b;1;2;47;8;0;5;b1478;b147;1;1;Psychomotor functions, other specified;;;;1;Psühhomotoorsed funktsioonid, teisiti täpsustatud;;;
ICFEN2;b;1;2;47;9;0;5;b1479;b147;1;1;Psychomotor functions, unspecified;;;;1;Psühhomotoorsed funktsioonid, täpsustamata;;;
