Ülemkood;RfkLiik;Kood;Kirjeldus;Selgitus;KA;VA;
b110-b139;B;b1302;Isu;Vaimsed funktsioonid, mis tekitavad loomuliku iha või soovi, eriti loomuliku ja taastekkiva soovi toidu ja joogi järele.;;;
b110-b139;B;b1303;Himu;Vaimsed funktsioonid, mis tekitavad pakilise vajaduse ainete tarvitamise, ka väärtarvitamise järele.;;;
b110-b139;B;b1304;Impulsside kontrollimine;Vaimsed funktsioonid, mis reguleerivad ja summutavad äkilist tungivat vajadust midagi teha.;;;
b110-b139;B;b1308;TT vaimse energia ja tungifunktsioonid;;;;
b110-b139;B;b1309;Tta vaimse energia ja tungifunktsioonid;;;;
b110-b139;B;b134;Unefunktsioonid;Üldised vaimsed funktsioonid, mis tingivad perioodilise, pöörduva ja valikulise füüsilise ning vaimse eraldumise vahetust ümbrusest ning millega kaasnevad iseloomulikud füsioloogilised muutused.;"K.a: uinumise, une kestuse, säilitamise ja kvaliteedi funktsioonid; une tsüklilisuse funktsioonid, nagu unetuse, liigunisuse e hüpersomnia ja tukkumistõve e narkolepsia puhul";"V.a: teadvuse funktsioonid (b110); vaimse energia ja tungifunktsioonid (b130); tähelepanufunktsioonid (b140); psühhomotoorsed funktsioonid (b147)";
b110-b139;B;b1340;Une kestus;Vaimsed funktsioonid, mis on seotud unes viibimise ajaga päevases või ööpäevases tsüklis.;;;
b110-b139;B;b1341;Uinumine;Vaimsed funktsioonid, mis tagavad ülemineku ärkvelolekust unne.;;;
b110-b139;B;b1342;Une säilitamine;Vaimsed funktsioonid, mis tagavad une püsimise.;;;
b110-b139;B;b1343;Une kvaliteet;Vaimsed funktsioonid, mis tagavad optimaalse füüsilise ja vaimse puhkuse ning lõõgastust võimaldava loomuliku une.;;;
b110-b139;B;b1344;Une tsüklilisuse funktsioonid;"Vaimsed funktsioonid, mis tagavad kiirete silmaliigutustega une (REM - unenägudega seotud) ja aeglaste silmaliigutustega une (NREM); uni on aeg, mida traditsiooniline käsitlus iseloomustab kui füsioloogilise ja psühholoogilise aktiivsuse vähenemist.";;;
b110-b139;B;b1348;TT unefunktsioonid;;;;
b110-b139;B;b1349;Tta unefunktsioonid;;;;
b110-b139;B;b139;TT ja Tta üldised vaimsed funktsioonid;;;;
b1;B;b140-b189;Spetsiifilised vaimsed funktsioonid;;;;
b140-b189;B;b140;Tähelepanufunktsioonid;Spetsiifilised vaimsed funktsioonid, mis võimaldavad vajalikul ajavahemikul keskenduda välisele ärritajale või seesmisele kogemusele.;" K.a: tähelepanu säilitamise, ümberlülitamise, jaotamise ja koondamise funktsioonid; kontsentreerumine; hajameelsus ";"V.a: teadvuse funktsioonid (b110); vaimse energia ja tungifunktsioonid (b130); unefunktsioonid (b134); mälufunktsioonid (b144); psühhomotoorsed funktsioonid (b147);  tajufunktsioonid (b156)";
b140-b189;B;b1400;Tähelepanu säilitamine;Vaimsed funktsioonid, mis tagavad vajalikul ajavahemikul tähelepanu kontsentreerimise.;;;
b140-b189;B;b1401;Tähelepanu ümberlülitamine;Vaimsed funktsioonid, mis võimaldavad kontsentreerumist suunata ühelt ärritajalt teisele.;;;
b140-b189;B;b1402;Tähelepanu jaotamine;Vaimsed funktsioonid, mis võimaldavad tähelepanu üheaegselt suunata kahele või enamale ärritajale.;;;
b140-b189;B;b1403;Tähelepanu objekti jagamine teistega;Vaimsed funktsioonid, mis võimaldavad kahe või enama inimese tähelepanu koondamist samale ärritajale, nagu nt laps ja tema hoidja mõlemad koondavad tähelepanu ühele ja samale mänguasjale.;;;
b140-b189;B;b1408;TT tähelepanufunktsioonid;;;;
b140-b189;B;b1409;Tta tähelepanufunktsioonid;;;;
b140-b189;B;b144;Mälufunktsioonid;Spetsiifilised vaimsed funktsioonid, mis registreerivad ja salvestavad informatsiooni ning vajaduse korral taastavad selle.;"K.a: lühi- ja püsimälu funktsioonid, vahetu, lähi- ja kaugmälu; mälumaht; mälu taastumine; meelespidamine; õppimisel ja meenutamisel kasutatavad funktsioonid, nagu  nominaalse, selektiivse või dissotsiatiivse amneesia puhul";"V.a: teadvuse funktsioonid (b110); orienteerumisfunktsioonid (b114); intellektuaalsed funktsioonid (b117); tähelepanufunktsioonid (b140); tajufunktsioonid (b156); mõtlemisfunktsioonid (b160);  kõrgemad kognitiivsed funktsioonid (b164); keele vaimsed funktsioobid";
b140-b189;B;b1440;Lühimälu;Vaimsed funktsioonid, mis tagavad ajutise, katkendliku mällusalvestamise umbes 30 sekundiks, seejärel info kaob või kinnistub püsimällu.;;;
b140-b189;B;b1441;Püsimälu;Vaimsed funktsioonid, mis tagavad info lühimälust püsimällu ülekandmist võimaldava mälusüsteemi. Mineviku sündmusi säilitatakse autobiograafilises ning keelt ja fakte semantilises püsimälus.;;;
b140-b189;B;b1442;Meenutamine;Spetsiifilised vaimsed funktsioonid, mis toovad teadvusse püsimällu salvestatud info.;;;
b140-b189;B;b1448;TT mälufunktsioonid;;;;
b140-b189;B;b1449;Tta mälufunktsioonid;;;;
b140-b189;B;b147;Psühhomotoorsed funktsioonid;Spetsiifilised vaimsed funktsioonid, mis reguleerivad nii motoorseid kui ka psüühilisi protsesse organismi tasandil.;"K.a: psühhomotoorse regulatsiooni funktsioonid, nagu psühhomotoorne aeglustumine, rahutus või ärritus, sundasendid, katatoonia, negativism, ambitendents, ehhopraksia (kajaliigutused) ja ehholaalia (kajakõne); psühhomotoorse funktsiooni kvaliteet";"V.a: teadvuse funktsioonid (b110); orienteerumisfunktsioonid (b114); intellektuaalsed funktsioonid (b117);vaimse energia ja tungifunktsioonid (b130); tähelepanufunktsioonid (b140); keele vaimsed funktsioonid (b167); keeruliste liigutuste järjestamisega seotud funktsioonid";
b140-b189;B;b1470;Psühhomotoorne regulatsioon;"Vaimsed funktsioonid, mis reguleerivad nii motoorseid kui ka psüühilisi komponente hõlmavat käitumise kiirust või reageerimisaega, nagu psühhomotoorset aeglustumist (aeglaselt liikumine ja rääkimine; şestide ja spontaansete liigutuste vähenemine või psühhomotoorne erutus (liigne käitumuslik või kognitiivne aktiivsus, tavaliselt mitteproduktiivne ja vastuseks sisemisele pingele, nagu varvastel käimine, käte mudimine)";;;
b140-b189;B;b1471;Psühhomotoorsete funktsioonide kvaliteet;Vaimsed funktsioonid, mis tagavad mitteverbaalse käitumise osade õige järjestuse ja viisi, nagu käte ja silmade koordinatsioon või kõnnak.;;;
b140-b189;B;b1478;TT psühhomotoorsed funktsioonid;;;;
b140-b189;B;b1479;Tta psühhomotoorsed funktsioonid;;;;
b140-b189;B;b152;Emotsioonide funktsioonid;Spetsiifilised vaimsed funktsioonid, mis on seotud tunnete ja mõtlemisprotsesside afektiivsete komponentidega.;"K.a: emotsioonide sobivuse, nende reguleerimise ja ulatuse funktsioonid; afekt; kurbus, õnn, armastus, hirm, viha, vihkamine, pinge, rahutus, rõõm, mure; emotsioonide labiilsus; afekti leevendamine";"V.a: temperamendi ja isiksuse funktsioonid (b126); vaimse energia ja tungifunktsioonid (b130)";
b140-b189;B;b1520;Emotsioonide adekvaatsus;Vaimsed funktsioonid, mis tagavad tunde või afekti olukorraga sobivuse, nagu õnnetunne hea uudise saamisel.;;;
b140-b189;B;b1521;Emotsioonide reguleerimine;Vaimsed funktsioonid, mis reguleerivad afekti kogemist või väljendamist.;;;
b140-b189;B;b1522;Emotsioonide ulatus;Vaimsed funktsioonid, mis määravad kogu tunnete või afektide kogemise spektri, nagu armastus, rahutus, kurbus, rõõm, hirm ja viha.;;;
b140-b189;B;b1528;TT emotsioonide funktsioonid;;;;
b140-b189;B;b1529;Tta emotsioonide funktsioonid;;;;
b140-b189;B;b156;Tajufunktsioonid;Spetsiifilised vaimsed funktsioonid, mis tagavad sensoorsete ärritajate tajumise ja tõlgendamise.;K.a: kuulmis-, nägemis-, haistmis-, maitsmis-, kompimis- ja ruumitaju funktsioonid, nagu hallutsinatsioon või illusioon;"V.a: teadvuse funktsioonid (b110); orienteerumisfunktsioonid (b114); tähelepanufunktsioonid (b140); mälufunktsioonid (b144); keele vaimsed funktsioonid (b167); nägemine ja sellega seotud funktsioonid (b210-b229); kuulmis-ja tasakaalufunktsioonid (b230-b249)";
b140-b189;B;b1560;Kuulmistaju;Vaimsed funktsioonid, mille abil eristatakse helisid, toone, helikõrgust ja muid akustilisi ärritajaid.;;;
b140-b189;B;b1561;Nägemistaju;Vaimsed funktsioonid, mille abil eristatakse vormi, suurust, värvust ja muid visuaalseid ärritajaid.;;;
b140-b189;B;b1562;Haistmistaju;Vaimsed funktsioonid, mille abil eristatakse lõhnu.;;;
b140-b189;B;b1563;Maitsmistaju;Vaimsed funktsioonid maitsete, nagu magus, hapu, soolane ja mõru, eristamiseks.;;;
b140-b189;B;b1564;Kompimistaju;Vaimsed funktsioonid tekstuuri erinevuste, nagu kareda või sileda pinna, eristamiseks puudutuse abil.;;;
b140-b189;B;b1565;Ruumitaju;Vaimsed funktsioonid esemete suhtelise paigutuse eristamiseks nägemise abil ümbruse või iseenda suhtes.;;;
b140-b189;B;b1568;TT tajufunktsioonid;;;;
b140-b189;B;b1569;Tta tajufunktsioonid;;;;
b140-b189;B;b160;Mõtlemisfunktsioonid;Spetsiifilised vaimsed funktsioonid, mis on seotud mõtlemise vormilise ja sisulise kulgemisega.;"K.a: mõtlemise kiiruse, vormi, kontrolli ja sisu funktsioonid; sihipärased ja  mittesihipärased mõtlemisfunktsioonid; loogilise mõtlemise funktsioonid, nagu  mõtlemispinge, ideede lend, mõtlemisseisak, mõtlemise seosetus, umbkaudsus e tangentsiaalsus, detailsus, hallutsinatsioonid, obsessioonid ja kompulsioonid";"V.a: intellektuaalsed funktsioonid (b117); mälufunktsioonid (b144); psühhomotoorsed funktsioonid (b147); tajufunktsioonid (b156); kõrgemad kognitiivsed funktsioonid (b164); keele vaimsed funktsioonid (b167); arvutamisfunktsioonid (b172)";
b140-b189;B;b1600;Mõtlemise kiirus;Vaimsed funktsioonid, mis määravad mõtlemisprotsessi kiiruse.;;;
b140-b189;B;b1601;Mõtlemise vorm;Vaimsed funktsioonid, mis tagavad mõtlemisprotsessi seotuse ja loogika.;K.a: mõtete kordumise e perseveratsiooni, umbkaudsuse e tangentsiaalsuse ja detailsuse puuded;;
b140-b189;B;b1602;Mõtlemise sisu;Vaimsed funktsioonid, mis on seotud ideede ja nende sisu ühendamisega mõtlemisprotsessis (sisuline mõtlemine).;K.a: pettekujutluste, ülehinnatud ideede ja somatisatsiooni puuded;;
b140-b189;B;b1603;Mõtlemise kontrollimine;Vaimsed funktsioonid, mis tagavad mõtlemise teadliku kontrolli ja mida inimene ise sellisena tuvastab.;K.a: mõtiskelu, kinnismõtete, mõtete levi ja mõtete sisendamise puuded;;
b140-b189;B;b1608;TT mõtlemisfunktsioonid;;;;
b140-b189;B;b1609;Tta mõtlemisfunktsioonid;;;;
b140-b189;B;b164;Kõrgemad kognitiivsed funktsioonid;Spetsiifilised vaimsed funktsioonid, mis sõltuvad peamiselt aju otsmikusagaratest, kaasa arvatud keerulised sihipärased käitumisviisid, nagu otsuste vastuvõtmine, abstraktne mõtlemine, plaanide kavandamine ja elluviimine, vaimne paindlikkus ja olukorrale kohane käitumine, tihti nimetatud täidesaatvateks funktsioonideks.;"K.a: abstraheerimise ja ideede korrastamise funktsioonid; aja arvestamine, intuitsioon ja otsustusvõime; mõistete loomine, liigitamine ja paindlik kasutamine";"V.a: mälufunktsioonid (b144); mõtlemisfunktsioonid (b160); keele vaimsed funktsioonid (b167), arvutamisfunktsioonid (b172)";
b140-b189;B;b1640;Üldistamine ehk abstrahheerimine;Vaimsed funktsioonid, mis on seotud üldiste ideede, omaduste või tunnuste tuletamisega reaalse situatsiooni, spetsiifiliste objektide või tegelike juhtumite põhjal.;;;
b140-b189;B;b1641;Organiseerimine ja plaanimine;"Vaimsed funktsioonid, mis on seotud osade tervikuks koondamise ja süstematiseerimisega; toimingu või tegevuse meetodi kavandamise vaimne funktsioon.";;;
b140-b189;B;b1642;Aja arvestamine;Vaimsed funktsioonid, mis on seotud sündmuste kronoloogilise järjestamisega, sündmustele ja tegevustele ajalise kestuse omistamisega.;;;
b140-b189;B;b1643;Tunnetuse paindlikkus;Vaimsed funktsioonid, mis on seotud strateegiate või mõttemallide muutmisega ja mis on eriti vajalikud probleemide lahendamisel.;;;
b140-b189;B;b1644;Enesetunnetus;Vaimsed funktsioonid, mis on seotud iseenese ja oma käitumise teadvustamise ning mõistmisega.;;;
b140-b189;B;b1645;Otsustusvõime;Vaimsed funktsioonid, mis on seotud mitmesuguste võimaluste eristamise ja hindamisega, nagu need, mida on vaja arvamuse kujundamisel.;;;
b140-b189;B;b1646;Probleemi lahendamine;Vaimsed funktsioonid, mis on seotud ühtimatu ja vastuolulise info identifitseerimise, analüüsimise ja integreerimisega lahenduse leidmiseks.;;;
b140-b189;B;b1648;TT kõrgemad kognitiivsed funktsioonid;;;;
b140-b189;B;b1649;Tta kõrgemad kognitiivsed funktsioonid;;;;
b140-b189;B;b167;Keele vaimsed funktsioonid;Spetsiifilised vaimsed funktsioonid, mis on seotud märkide, sümbolite ja muude keeleosade mõistmise ja kasutamisega.;"K.a: suulise, kirjaliku või muu keelevormi, nagu viipekeele mõistmise ja değifreerimise funktsioonid; suulise, kirjaliku või muu keelevormi väljendamise funktsioonid;  kirjaliku ja suulise kõne sellised terviklikud funktsioonid, mille häirumine tekitab retseptiivset, ekspressiivset, Broca, Wernicke ja konduktiivset afaasiat";"V.a: tähelepanufunktsioonid (b140); mälufunktsioonid (b144); tajufunktsioonid (b156); mõtlemisfunktsioonid (b160); kõrgemad kognitiivsed funktsioonid (b164);  arvutamisfunktsioonid (b172); keeruliste liigutuste järjestamisega seotud vaimsed funktsioonid (b176), ptk II Sensoorsed funktsioonid ja valu ning ptk III Hääle ja kõnelemise funktsioonid ";
b140-b189;B;b1670;Keele mõistmine;Spetsiifilised vaimsed funktsioonid, mis on seotud suulises, kirjalikus või muus keelevormis, nagu nt viipekeeles edastatud info tähenduse mõistmiseks vajaliku dekodeerimisega.;;;
b140-b189;B;b16700;Suulise kõne mõistmine;Vaimsed funktsioonid, mis on seotud suuliselt edastatud info tähenduse mõistmiseks vajaliku dekodeerimisega.;;;
b140-b189;B;b16701;Kirjaliku kõne mõistmine;Vaimsed funktsioonid, mis on seotud kirjalikult edastatud info tähenduse mõistmiseks vajaliku dekodeerimisega.;;;
b140-b189;B;b16702;Viipekeele mõistmine;Vaimsed funktsioonid, mis on seotud kätega edastatavaid märke või muid liigutusi kasutavates keeltes edastatud info tähenduse mõistmiseks vajaliku dekodeerimisega.;;;
b140-b189;B;b16708;TT keele mõistmine;;;;
b140-b189;B;b16709;Tta keele mõistmine;;;;
b140-b189;B;b1671;Keele väljendamine;Spetsiifilised vaimsed funktsioonid, mis on seotud tähendusliku info edastamisega suulises, kirjalikus, viipe- või muus keelevormis.;;;
b140-b189;B;b16710;Suulises kõnes väljendumine;Vaimsed funktsioonid, mis on seotud tähendusliku suulise info edastamisega.;;;
b140-b189;B;b16711;Kirjalikus keeles väljendumine;Vaimsed funktsioonid, mis on seotud tähendusliku kirjaliku info edastamisega.;;;
b140-b189;B;b16712;Viipekeeles väljendumine;Vaimsed funktsioonid, mis on seotud tähendusliku info edastamisega nendes keeltes, kus kasutatakse kätega tehtavaid märke või muid liigutusi.;;;
b140-b189;B;b16718;TT keele väljendamine;;;;
b140-b189;B;b16719;Tta keele väljendamine;;;;
b140-b189;B;b1672;Keele integratiivsed funktsioonid;Vaimsed funktsioonid, mis annavad semantilise ja sümboolse tähenduse, grammatilise struktuuri ja sisu suulises, kirjalikus või muus keelevormis edastatud infole.;;;
b140-b189;B;b172;Arvutamisfunktsioonid;Spetsiifilised vaimsed funktsioonid, mis on seotud matemaatiliste sümbolite ja meetodite määratlemise, hindamise ja käsitlemisega.;"K.a: liitmise, lahutamise ja muude lihtsate matemaatiliste tehete funktsioonid; keeruliste matemaatiliste tehete funktsioonid";"V.a: tähelepanufunktsioonid (b140); mälufunktsioonid (b144); mõtlemisfunktsioonid (b160); kõrgemad kognitiivsed funktsioonid (b164); keele vaimsed funktsioonid (b167)";
b140-b189;B;b1720;Lihtne arvutamine;Vaimsed funktsioonid, mis on seotud numbritega arvutamisega, nagu liitmine, lahutamine, korrutamine ja jagamine.;;;
b140-b189;B;b1721;Keeruline arvutamine;Vaimsed funktsioonid, mis on seotud sõnaliste probleemide aritmeetilisteks teheteks taandamise, matemaatiliste valemite aritmeetilisteks teheteks taandamise ja muude numbrite abil tehtavate keeruliste manipulatsioonidega.;;;
b140-b189;B;b1728;TT arvutamisfunktsioonid;;;;
b140-b189;B;b1729;TT arvutamisfunktsioonid;;;;
b140-b189;B;b176;Keeruliste liigutuste järjestamisega seotud vaimsed funktsioonid;Spetsiifilised vaimsed funktsioonid, mis on seotud keeruliste sihipäraste liigutuste koordineerimise ja järjestamisega.;K.a: sellised puuded nagu ideatoorne, ideomotoorne, okulomotoorne, riietumis-ja kõnevõimetus;"V.a: psühhomotoorsed funktsioonid (b147); kõrgemad kognitiivsed funktsioonid (b164); VII peatükk: Närvide, lihaste ja luustiku ja liikumisega seotud funktsioonid";
b140-b189;B;b180;Enese- ja ajataju funktsioonid;Spetsiifilised vaimsed funktsioonid, mis on seotud enda identiteedi, keha ja asendi teadvustamisega reaalses ümbruses ning ajas.;K.a: Enese, oma keha ja aja tajumise funktsioonid;;
b140-b189;B;b1800;Enesetaju;Spetsiifilised vaimsed funktsioonid, mis on seotud enda identiteedi ja asendi teadvustamisega reaalses ümbruses.;K.a: sellised puuded nagu depersonalisatsioon ja derealisatsioon;;
b140-b189;B;b1801;Kehataju;Spetsiifilised vaimsed funktsioonid, mis on seotud enda keha teadvustamise ja kujutamisega.;;;
b140-b189;B;b1802;Ajataju;Spetsiifilised psüühilised funktsioonid, mis on seotud aja kulgemise ja aja pikkuse subjektiivse tajumisega.;K.a: sellised puuded nagu ei-iial-nähtu tunne  ja nähtutunne;;
b140-b189;B;b1808;TT enese- ja ajataju funktsioon;;;;
b140-b189;B;b1809;Tta enese- ja ajataju funktsioon;;;;
b140-b189;B;b189;TT ja Tta spetsiifilised vaimsed funktsioonid;;;;
b140-b189;B;b198;TT vaimsed funktsioonid;;;;
b140-b189;B;b199;Tta vaimsed funktsioonid;;;;
b;B;b2;SENSOORSED  FUNKTSIOONID  JA VALU;See peatükk käsitleb meeleelundite aistinguid - nägemist, kuulmist, maitsmist jne ning valutunnet.;;;
b2;B;b210-b229;Nägemine ja sellega seotud funktsioonid;;;;
b210-b229;B;b210;Nägemisfunktsioonid;Sensoorsed funktsioonid, mis puudutavad valguse ja vaadeldava objekti vormi, suuruse, kuju ja värvuse tajumist.;"K.a: nägemisteravuse funktsioonid; nägemisvälja funktsioonid; nägemise kvaliteet; valguse ja värvuse tajumise, kaug- ja lähinägemisteravuse, ühe ja kahe silma nägemisteravuse funktsioonid; nägemiskujutise kvaliteet; sellised puuded nagu lühinägevus e müoopia, hüpermetroopia, astigmatism, hemianopsia, värvipimedus, tunnelnägemine, tsentraalne ja perifeerne skotoom, diplopsia, ööpimedus ja valgusega kohanemine ";V.a: tajufunktsioonid (b156);
b210-b229;B;b2100;Nägemisteravuse funktsioond;Nägemisfunktsioonid kuju ja kontuuri tajumiseks kahe või ühe silmaga, kaugele või lähedale vaatamisel.;;;
b210-b229;B;b21000;Kaugnägemisteravus kahe silmaga vaatamisel;Nägemisfunktsioonid silmast kaugel asuvate esemete suuruse, kuju ja kontuuri tajumiseks mõlema silmaga vaatamisel;;;
b210-b229;B;b21001;Kaugnägemisteravus ühe silmaga vaatamisel;Nägemisfunktsioonid silmast kaugel asuvate esemete suuruse, kuju ja kontuuri tajumiseks ainult parema või ainult vasaku silmaga vaatamisel.;;;
b210-b229;B;b21002;Lähinägemisteravuse kahe silmaga vaatamisel;Nägemisfunktsioonid silmale lähedalolevate esemete suuruse, vormi ja kontuuri tajumiseks mõlema silmaga vaatamisel.;;;
b210-b229;B;b21003;Lähinägemisteravuse ühe silmaga vaatamisel;Nägemisfunktsioonid silmale lähedalasuvate esemete suuruse, vormi ja kontuuri tajumiseks ainult parema või ainult vasaku silmaga vaatamisel.;;;
b210-b229;B;b21008;TT nägemisteravuse funktsioonid;;;;
b210-b229;B;b21009;Tta nägemisteravuse funktsioonid;;;;
b210-b229;B;b2101;Nägemisvälja funktsioonid;Nägemisfunktsioonid, mis on seotud fikseeritud pilguga nähtava alaga.;K.a: sellised puuded nagu nägemisväljatumendi e skotoomi, tunnelnägemise, anopsia puhul;;
